gene,log2FC,pval,mean_a,mean_b,padj,-log10p,significant
ACSM2A,0.09450322765356675,0.07409789426321338,-0.1446533308373613,-0.05015010318379454,0.9457182643135121,1.1301941337596875,False
ACSL5,-0.09670835211406498,0.32221121774156647,-0.13405900947422142,-0.2307673615882864,0.9457182643135121,0.49185934374779033,False
ACTR3B,-0.22782974550922594,0.0054577689623041365,0.20411006844695204,-0.023719677062273906,0.9457182643135121,2.262984852784875,False
ACTR3,-0.11608965559299267,0.1487487258901576,0.060309425202455746,-0.05578023039053692,0.9457182643135121,0.827546745540547,False
OR4B10,-0.07763254216198126,0.33785013285040166,0.06817681049134522,-0.00945573167063604,0.9457182643135121,0.47127590596444635,False
ACTR1A,-0.028382038394518153,0.5006775224717607,-0.017066896155723238,-0.04544893455024139,0.9457182643135121,0.3004419054766722,False
ACTR10,-0.08797852569101028,0.16038633880404005,-0.029968712007737985,-0.11794723769874826,0.9457182643135121,0.794832626293069,False
OR4A15,0.26584320108743986,0.4819001178750487,-0.8093846689808121,-0.5435414678933722,0.9457182643135121,0.31704296746829363,False
ACTN2,0.13814905622704052,0.06604906997820442,-0.12864094266747103,0.009508113559569485,0.9457182643135121,1.1801332932073267,False
OR3A2,-0.07524543885571765,0.20943435022179083,0.06820414424427526,-0.007041294611442381,0.9457182643135121,0.6789520863232824,False
ACTL9,-0.14147600163874705,0.31363995100120745,0.12868426908039532,-0.012791732558351726,0.9457182643135121,0.5035686226639917,False
ACTL8,-0.1304233119831936,0.20956589331509703,0.37171487003808695,0.24129155805489336,0.9457182643135121,0.678679397023868,False
ACTL7B,-0.3505331573173931,0.1842178806612398,0.3063011404177362,-0.0442320168996569,0.9457182643135121,0.734668218353998,False
OR2T1,0.10848954263437058,0.2840429283758935,-0.04899161335855589,0.05949792927581469,0.9457182643135121,0.5466160185872423,False
ACTG2,0.06902518954644803,0.10613608122527396,-0.022803617460739608,0.04622157208570842,0.9457182643135121,0.9741369515065006,False
ACTC1,0.0965996405370191,0.05780462958499545,0.02805577901866113,0.12465541955568023,0.9457182643135121,1.2380373774497122,False
OR2C1,-0.13678173099958954,0.4422157028950958,0.09055504871465095,-0.046226682284938585,0.9457182643135121,0.3543658398676473,False
cOR4X3,0.15997057708543597,0.27784859822570196,-0.16909191359111028,-0.009121336505674303,0.9457182643135121,0.5561917899326895,False
ZZEF1,0.11483924935004329,0.09531653105469892,0.07887443032084142,0.1937136796708847,0.9457182643135121,1.0208317717307063,False
ZYX,0.2243377653643832,0.18004030765698154,0.0007461598564691418,0.22508392522085235,0.9457182643135121,0.7446302536006147,False
ZYG11B,-0.10615400818375262,0.3635895859110704,-0.0679646415628404,-0.17411864974659302,0.9457182643135121,0.43938856452082725,False
ZYG11A,-0.02214677520609107,0.05613029875363297,0.002737310158444706,-0.019409465047646363,0.9457182643135121,1.2508026462408843,False
OR2A5,0.2486007395912699,0.21961985236136994,-0.20444270979843113,0.044158029792838775,0.9457182643135121,0.6583284047442366,False
ZXDB,-0.07830979608478365,0.2922225952632775,0.1532434581510881,0.07493366206630446,0.9457182643135121,0.5342862065441998,False
ZW10,-0.10272559590477144,0.3052039424204561,-0.11497691698110972,-0.21770251288588116,0.9457182643135121,0.5154098607551943,False
ADAL,-0.09462145781753332,0.15420940193696012,-0.03130453080682806,-0.12592598862436138,0.9457182643135121,0.811889147135486,False
ADA,0.1288899255595431,0.25062259962539557,0.0142426155107262,0.1431325410702693,0.9457182643135121,0.6009797695347445,False
ACY1,0.07117606309529115,0.3737661852398273,0.050668948287245184,0.12184501138253633,0.9457182643135121,0.42739999195674255,False
OR28D07,-0.012378454200222311,0.1134351710846673,-0.007031010847424053,-0.019409465047646363,0.9457182643135121,0.9452522696074124,False
ACVR1B,0.03593882947584275,0.5210278817320972,-0.01849685453928123,0.017441974936561522,0.9457182643135121,0.2831390357054678,False
OR26A01,-0.09067158350767406,0.3031003862705897,-0.004665191610536356,-0.09533677511821041,0.9457182643135121,0.5184135101679147,False
ACTRT1,-0.13408475108611362,0.13793090192629487,0.1448655365576356,0.010780785471521975,0.9457182643135121,0.8603384239431147,False
ACTR8,0.03501727743461718,0.30983526287658986,0.009201105264980162,0.044218382699597346,0.9457182643135121,0.5088691559725427,False
ACTR6,-0.1402474143790485,0.2620527552767841,-0.055511631987017196,-0.1957590463660657,0.9457182643135121,0.5816112696755157,False
ADAMTS10,-0.1977558576062351,0.04902006422063337,0.020087913191421034,-0.17766794441481407,0.9457182643135121,1.3096261241192646,False
ADAM9,-0.057730283233185055,0.4505918180138663,0.01719444204237639,-0.040535841190808664,0.9457182643135121,0.34621669859463466,False
OR1E2,0.2111106314178548,0.11096498255163016,-0.0997926517703276,0.11131797964752721,0.9457182643135121,0.9548140507983581,False
ADAM32,0.1327977713009998,0.11067416898069367,-0.09870403726864543,0.03409373403235437,0.9457182643135121,0.9559537303245296,False
ADAM29,0.20286969967552654,0.1907363871185886,-0.4984575064553434,-0.2955878067798169,0.9457182643135121,0.719566447922203,False
ADAM23,0.08785025894335648,0.4541242977257879,-0.18697671012467196,-0.09912645118131548,0.9457182643135121,0.3428252607373785,False
ADAM22,0.07410749955790039,0.5094558960631038,-0.21336731828176597,-0.13925981872386559,0.9457182643135121,0.29289340719335805,False
ADAM21,0.15058424028345224,0.2395185898677352,-0.09265181648142451,0.05793242380202774,0.9457182643135121,0.6206607738416379,False
SCN1B,0.06562479873437793,0.325861306009541,-0.07312963711146814,-0.007504838377090202,0.9457182643135121,0.4869672062246975,False
ADAM18,-0.04314441742622689,0.19104218330389303,-0.007031010847424053,-0.05017542827365094,0.9457182643135121,0.7188707272372049,False
ADAM11,0.04657363204725404,0.2851151573549809,-0.04967104518719186,-0.0030974131399378246,0.9457182643135121,0.5449796940176239,False
cOR10H9,-0.12405692994574333,0.3710100653311541,0.33808327176047354,0.2140263418147302,0.9457182643135121,0.4306143080170773,False
SCML4,-0.20614316112000328,0.02394525586997929,-0.06105197018299955,-0.2671951313030028,0.9457182643135121,1.6207805178894303,False
